Country,State,City,Category,Name,Phone,Address,Latitude,Longitude
India,Tamil Nadu,Chennai,Hospital,Apollo Hospital,+91 80 6904 9756,"21 Greams Lane, Thousand Lights, Chennai, Tamil Nadu 600006",13.0797,80.1973
India,Tamil Nadu,Chennai,Hospital,Fortis Hospital,+91 99625 99933,"52 1st Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",13.05,80.212
India,Tamil Nadu,Chennai,Hospital,IITM Institute,044-2257 8330,"Near Kendra Vidyalaya, IITM Campus, School 1st Cross St, Indian Institute Of Technology, Chennai, Tamil Nadu 600036",12.992,80.2338
India,Tamil Nadu,Chennai,Hospital,Gem Hospital,+91 44 6166 6666,"MDR452, Gandhi Nagar, Thiruvengadam Nagar, Perungudi, Chennai, Tamil Nadu 600096",12.9684,80.2451
India,Tamil Nadu,Chennai,Hospital,MIOT International,+91 44 4200 2288,"4/112 Mount Poonamallee Road, Manapakkam, Chennai, Tamil Nadu 600089",13.0215,80.185
India,Tamil Nadu,Chennai,Police,J7- Velachery,+91 44 2345 2605,"1, Velachery Main Rd, Velachery, Chennai, Tamil Nadu 600042",12.9787,80.2206
India,Tamil Nadu,Chennai,Police,J13,+91 94981 00168,"81/12, Nehru St, Kanagam, Tharamani, Chennai, Tamil Nadu 600113",12.9858,80.2418
India,Tamil Nadu,Chennai,Police,Koyambedu,+91 44 2345 2739,"Koyembedu Market E Road, Kaliamman Koil St, Koyambedu, Chennai, Tamil Nadu 600107",13.071,80.194
India,Tamil Nadu,Chennai,Police,Anna Nagar,+91 44 2345 2719,"6th Ave, Anna Nagar, Annanagar East, Chennai, Tamil Nadu 600040",13.085,80.21
India,Tamil Nadu,Chennai,Police,Velachery,+91 44 2345 2605,"1, Velachery Main Rd, Velachery, Chennai, Tamil Nadu 600042",12.98,80.22
India,Tamil Nadu,Chennai,Ambulance,108 Emergency,108,"EMRI Station, Park Town, Chennai, Tamil Nadu 600003",13.0827,80.2707
India,Tamil Nadu,Chennai,Ambulance,Chennai Ambulance,102,"EMRI Base, Tambaram, Chennai, Tamil Nadu 600045",13.07,80.25
India,Tamil Nadu,Chennai,Ambulance,Bethel Ambulance,+91 91763 08428,"28, 1st Ave, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",13.0063,80.2562
India,Tamil Nadu,Chennai,Ambulance,Chennai City Ambulance,+91 96268 85969,"9/1, 10th Ln, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020",13.0055,80.255
India,Tamil Nadu,Chennai,Ambulance,City Emergency,+91 44 4545 4545,"42 Sterling Road, Nungambakkam, Chennai, Tamil Nadu 600034",13.06,80.23
India,Tamil Nadu,Chennai,Rescue Service,Chennai Rescue,+91 44 2641 6422,"Tamil Nadu Fire and Rescue Services HQ, Chennai, Tamil Nadu 600002",13.05,80.21
India,Tamil Nadu,Chennai,Rescue Service,Tamil Nadu Rescue,+91 44 2641 6422,"Tamil Nadu Fire and Rescue Services, Rajaji Salai, Chennai, Tamil Nadu 600001",13.04,80.2
India,Tamil Nadu,Chennai,Rescue Service,Blue Cross,+91 44 4627 4999,"72, Velachery Main Rd, Guindy, Chennai, Tamil Nadu 600032",13.00024,80.21614
India,Tamil Nadu,Chennai,Rescue Service,Madras Animal Rescue,+91 99400 59810,"East Coast Rd, PRS Nagar, Palavakkam, Chennai, Tamil Nadu 600041",12.9597,80.2565
India,Tamil Nadu,Chennai,Rescue Service,Urban Vehicle Rescue,+91 97110 77372,"9.88E+09, Chennai, Tamil Nadu",13.06,80.22
India,Tamil Nadu,Chennai,Tow Service,TVS Auto Assist,+91 1800 258 9191,"Kochar Bliss, A8 & A9, Thiru Vi Ka Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",13.0102,80.2129
India,Tamil Nadu,Chennai,Tow Service,Elephant Towing,+91 93426 28202,"12/29 Boo Begum, 3rd St, Mount Road, Express Estate, Royapettah, Chennai, Tamil Nadu 600002",13.0645,80.2711
India,Tamil Nadu,Chennai,Tow Service,Fast Recovery Towing Service,+91 98414 48313,"Chennai, Tamil Nadu",13.1251,80.2104
India,Tamil Nadu,Chennai,Tow Service,Elite Road,+91 72990 50247,"No:22, Labour Colony 4th St, 3rd Phase, Thiru Vi Ka Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",13.0114,80.2138
India,Tamil Nadu,Chennai,Tow Service,Chennai Towing,+91 98408 36733,"56, 6th St, Phase-1, Porur Gardens, Vanagaram, Chennai, Tamil Nadu 600116",13.0356,80.1589
India,Tamil Nadu,Chennai,Puncture Shop,Adyar Puncture,+91 90697 78888,"150, Muthulakshmi Salai, Lattice Brg Rd, Venkata Rathinam Nagar, Adyar, Chennai, Tamil Nadu 600020",13.0047,80.2301
India,Tamil Nadu,Chennai,Puncture Shop,NAGA Tyres,+91 90870 54496,"Venkatasapuram, Kottivakkam, Chennai, Tamil Nadu 600041",12.9194,80.2579
India,Tamil Nadu,Chennai,Puncture Shop,Ganesh Puncture,+91 88256 64033,"46, MGR Rd, Bharathi Nagar, Perungudi, Chennai, Tamil Nadu 600042",12.968,80.2458
